"Start_year","End_year","Region","Region_alt","Region_type","Strata_included","Strata_excluded","Trend","Trend_Q0.025","Trend_Q0.05","Trend_Q0.25","Trend_Q0.75","Trend_Q0.95","Trend_Q0.975","Percent_Change","Percent_Change_Q0.025","Percent_Change_Q0.05","Percent_Change_Q0.25","Percent_Change_Q0.75","Percent_Change_Q0.95","Percent_Change_Q0.975","prob_decrease_0_percent","prob_decrease_25_percent","prob_decrease_30_percent","prob_decrease_50_percent","prob_increase_0_percent","prob_increase_33_percent","prob_increase_100_percent","Relative_Abundance","Observed_Relative_Abundance","Number_of_strata","Width_of_95_percent_Credible_Interval","Number_of_Routes","Mean_Number_of_Routes","rolt","roltlci","roltlci2","roltuci","roltuci2","model","species"
1976,1986,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-0.027967896818476,-1.85735487997476,-1.45154989605554,-0.597422255240773,0.543700899525779,1.33814566462192,1.5625264039189,-0.279327228906601,-17.0955975885542,-13.6031349330794,-5.8161437187346,5.57198172391857,14.2166796886106,16.7709889799644,0.511,0.003,0.001,0,0.489,0.000333333333333333,0,0.653093051790768,0.548258522840508,22,3.41988128389366,706,252.018867924528,-0.027967896818476,-1.85735487997476,-0.597422255240773,1.5625264039189,0.543700899525779,"firstdiff","American Kestrel"
1977,1987,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-0.386414839747234,-2.14133632722397,-1.80711597839493,-0.948107428838438,0.146807661569681,0.895640169337301,1.13821263197659,-3.79764365564439,-19.4634894424842,-16.6702346827845,-9.08662517523657,1.47781335288979,9.32613690653863,11.9831663457646,0.678333333333333,0.006,0.00266666666666667,0,0.321666666666667,0,0,0.653093051790768,0.548258522840508,22,3.27954895920056,706,252.018867924528,-0.386414839747234,-2.14133632722397,-0.948107428838438,1.13821263197659,0.146807661569681,"firstdiff","American Kestrel"
1978,1988,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-0.695038369493128,-2.39544943300153,-2.04569839372266,-1.21908533672121,-0.152515374038087,0.599685101924828,0.886797147624252,-6.73697866465855,-21.5305404737216,-18.6729300561889,-11.5433613063298,-1.51472695106414,6.16129847799269,9.23035550823175,0.814666666666667,0.00866666666666667,0.002,0,0.185333333333333,0,0,0.653093051790768,0.548258522840508,22,3.28224658062578,706,252.018867924528,-0.695038369493128,-2.39544943300153,-1.21908533672121,0.886797147624252,-0.152515374038087,"firstdiff","American Kestrel"
1979,1989,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-1.0022388013253,-2.65116847886505,-2.34090722368277,-1.49693736543359,-0.512313339027365,0.210387352146533,0.437050763781044,-9.58224201373676,-23.562331716074,-21.0909427022061,-14.000220219523,-5.00662335300246,2.12390408656322,4.45747366997873,0.913666666666667,0.0146666666666667,0.00366666666666667,0,0.0863333333333333,0,0,0.653093051790768,0.548258522840508,22,3.0882192426461,706,252.018867924528,-1.0022388013253,-2.65116847886505,-1.49693736543359,0.437050763781044,-0.512313339027365,"firstdiff","American Kestrel"
1980,1990,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-1.28135414552848,-2.79839925257337,-2.54487537872527,-1.79316610678794,-0.790702563422632,-0.120562211173135,0.0941980776771818,-12.0993888542251,-24.7105419707879,-22.7236123092825,-16.5517755307973,-7.63153182012752,-1.19910214223903,0.94598383102571,0.966333333333333,0.0223333333333333,0.007,0,0.0336666666666667,0,0,0.653093051790768,0.548258522840508,22,2.89259733025055,706,252.018867924528,-1.28135414552848,-2.79839925257337,-1.79316610678794,0.0941980776771818,-0.790702563422632,"firstdiff","American Kestrel"
1981,1991,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-1.54089728678896,-3.11732475837729,-2.82673063525468,-2.0194441243258,-1.06851588350838,-0.379760183560792,-0.111947441128679,-14.3832502354325,-27.1446873665717,-24.929700762944,-18.4546895948038,-10.1857510766358,-3.73335669713595,-1.11385161327788,0.980333333333333,0.0496666666666667,0.00966666666666667,0,0.0196666666666667,0,0,0.653093051790768,0.548258522840508,22,3.00537731724861,706,252.018867924528,-1.54089728678896,-3.11732475837729,-2.0194441243258,-0.111947441128679,-1.06851588350838,"firstdiff","American Kestrel"
1982,1992,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-1.65657527979999,-3.09315862252945,-2.83338616968723,-2.11080176041463,-1.16505317422629,-0.44683029349185,-0.260745485741949,-15.383846090753,-26.9627533797304,-24.9811016416508,-19.2118404724824,-11.0583197533897,-4.37951924437551,-2.57707182214866,0.988,0.0493333333333333,0.0103333333333333,0,0.012,0,0,0.653093051790768,0.548258522840508,22,2.8324131367875,706,252.018867924528,-1.65657527979999,-3.09315862252945,-2.11080176041463,-0.260745485741949,-1.16505317422629,"firstdiff","American Kestrel"
1983,1993,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-1.85497142528254,-3.29398915834716,-3.05823711521126,-2.31485603336578,-1.36238331632698,-0.63515061029736,-0.381399265761741,-17.0754621669786,-28.4623466597092,-26.6991296515377,-20.880194846783,-12.8182259816805,-6.17300961294944,-3.74919447997737,0.993,0.085,0.013,0.000333333333333333,0.007,0,0,0.653093051790768,0.548258522840508,22,2.91258989258542,706,252.018867924528,-1.85497142528254,-3.29398915834716,-2.31485603336578,-0.381399265761741,-1.36238331632698,"firstdiff","American Kestrel"
1984,1994,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-2.02518049795788,-3.48321535978085,-3.23334157633718,-2.50009660517259,-1.54473315024528,-0.801006313550233,-0.533067000691082,-18.5024185215358,-29.8498738454496,-28.0124420378882,-22.3678071138062,-14.4165999036426,-7.72741957511043,-5.20459847892133,0.996333333333333,0.130666666666667,0.0243333333333333,0,0.00366666666666667,0,0,0.653093051790768,0.548258522840508,22,2.95014835908976,706,252.018867924528,-2.02518049795788,-3.48321535978085,-2.50009660517259,-0.533067000691082,-1.54473315024528,"firstdiff","American Kestrel"
1985,1995,"CA","Canada","national","CA-AB-10 ; CA-AB-11 ; CA-AB-6 ; CA-BC-10 ; CA-BC-5 ; CA-BC-6 ; CA-BC-9 ; CA-MB-11 ; CA-MB-12 ; CA-MB-6 ; CA-MB-8 ; CA-NB-14 ; CA-NS-14 ; CA-NT-6 ; CA-ON-12 ; CA-ON-13 ; CA-ON-8 ; CA-QC-12 ; CA-QC-13 ; CA-QC-14 ; CA-SK-11 ; CA-SK-6","",-2.33518752962827,-3.79911625134182,-3.56628505330426,-2.83661361676231,-1.83314209234701,-1.14379507537496,-0.881726602875019,-21.0447150961048,-32.1123746934936,-30.4513065794396,-25.0060159026059,-16.8908377397793,-10.8668326506405,-8.47551751572555,0.999666666666667,0.250333333333333,0.0576666666666667,0,0.000333333333333333,0,0,0.653093051790768,0.548258522840508,22,2.9173896484668,706,252.018867924528,-2.33518752962827,-3.79911625134182,-2.83661361676231,-0.881726602875019,-1.83314209234701,"firstdiff","American Kestrel"
